VIN,服务器接收时间,数据采集时间,里程(km),SOC
LDD3B6K60N0000235,2023-05-01 05:55:44,2023-05-01 05:55:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:55:44,2023-05-01 05:55:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:56:14,2023-05-01 05:56:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:56:44,2023-05-01 05:56:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:57:14,2023-05-01 05:57:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:57:44,2023-05-01 05:57:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:58:14,2023-05-01 05:58:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:58:44,2023-05-01 05:58:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:59:14,2023-05-01 05:59:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 05:59:44,2023-05-01 05:59:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:00:14,2023-05-01 06:00:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:00:44,2023-05-01 06:00:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:01:14,2023-05-01 06:01:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:01:44,2023-05-01 06:01:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:02:14,2023-05-01 06:02:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:02:44,2023-05-01 06:02:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:03:14,2023-05-01 06:03:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:03:44,2023-05-01 06:03:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:04:14,2023-05-01 06:04:14,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:04:44,2023-05-01 06:04:44,17493.5,85
LDD3B6K60N0000235,2023-05-01 06:05:14,2023-05-01 06:05:14,17493.5,85
